GEOID20,Name,District
42101000804,PHILADELPHIA WARD 08 PRECINCT 04,3
42101000806,PHILADELPHIA WARD 08 PRECINCT 06,3
42101000807,PHILADELPHIA WARD 08 PRECINCT 07,3
42101000808,PHILADELPHIA WARD 08 PRECINCT 08,3
42101000809,PHILADELPHIA WARD 08 PRECINCT 09,3
42101000810,PHILADELPHIA WARD 08 PRECINCT 10,3
42101000811,PHILADELPHIA WARD 08 PRECINCT 11,3
42101000812,PHILADELPHIA WARD 08 PRECINCT 12,3
42101000813,PHILADELPHIA WARD 08 PRECINCT 13,3
42101000816,PHILADELPHIA WARD 08 PRECINCT 16,3
42101000817,PHILADELPHIA WARD 08 PRECINCT 17,5
42101000818,PHILADELPHIA WARD 08 PRECINCT 18,5
42101000821,PHILADELPHIA WARD 08 PRECINCT 21,3
42101000825,PHILADELPHIA WARD 08 PRECINCT 25,5
42101000827,PHILADELPHIA WARD 08 PRECINCT 27,3
42101000828,PHILADELPHIA WARD 08 PRECINCT 28,3
42101000829,PHILADELPHIA WARD 08 PRECINCT 29,5
42101000830,PHILADELPHIA WARD 08 PRECINCT 30,5
42101000831,PHILADELPHIA WARD 08 PRECINCT 05,3
42101000832,PHILADELPHIA WARD 08 PRECINCT 14,3
42101000833,PHILADELPHIA WARD 08 PRECINCT 15,3
42101000834,PHILADELPHIA WARD 08 PRECINCT 20,3
42101000835,PHILADELPHIA WARD 08 PRECINCT 24,5
42101000836,PHILADELPHIA WARD 08 PRECINCT 26,5
42101000837,PHILADELPHIA WARD 08 PRECINCT 31,5
42101000838,PHILADELPHIA WARD 08 PRECINCT 32,5
42101000839,PHILADELPHIA WARD 08 PRECINCT 33,3
42101000840,PHILADELPHIA WARD 08 PRECINCT 34,3
42101000841,PHILADELPHIA WARD 08 PRECINCT 35,3
42101000849,PHILADELPHIA WARD 08 PRECINCT 19,5
42101000852,PHILADELPHIA WARD 08 PRECINCT 22,5
42101000853,PHILADELPHIA WARD 08 PRECINCT 23,5
42101000901,PHILADELPHIA WARD 09 PRECINCT 01,2
42101000902,PHILADELPHIA WARD 09 PRECINCT 02,2
42101000903,PHILADELPHIA WARD 09 PRECINCT 03,2
42101000904,PHILADELPHIA WARD 09 PRECINCT 04,2
42101000905,PHILADELPHIA WARD 09 PRECINCT 05,2
42101000906,PHILADELPHIA WARD 09 PRECINCT 06,2
42101000907,PHILADELPHIA WARD 09 PRECINCT 07,2
42101000908,PHILADELPHIA WARD 09 PRECINCT 08,2
42101000909,PHILADELPHIA WARD 09 PRECINCT 09,2
42101000910,PHILADELPHIA WARD 09 PRECINCT 10,2
42101000911,PHILADELPHIA WARD 09 PRECINCT 11,2
42101000912,PHILADELPHIA WARD 09 PRECINCT 12,2
42101000913,PHILADELPHIA WARD 09 PRECINCT 13,2
42101000914,PHILADELPHIA WARD 09 PRECINCT 14,2
42101000915,PHILADELPHIA WARD 09 PRECINCT 15,2
42101000916,PHILADELPHIA WARD 09 PRECINCT 16,2
42101000917,PHILADELPHIA WARD 09 PRECINCT 17,2
42101001001,PHILADELPHIA WARD 10 PRECINCT 01,2
42101001002,PHILADELPHIA WARD 10 PRECINCT 02,2
42101001003,PHILADELPHIA WARD 10 PRECINCT 03,2
42101001004,PHILADELPHIA WARD 10 PRECINCT 04,2
42101001005,PHILADELPHIA WARD 10 PRECINCT 05,2
42101001006,PHILADELPHIA WARD 10 PRECINCT 06,2
42101001007,PHILADELPHIA WARD 10 PRECINCT 07,2
42101001008,PHILADELPHIA WARD 10 PRECINCT 08,2
42101001009,PHILADELPHIA WARD 10 PRECINCT 09,2
42101001010,PHILADELPHIA WARD 10 PRECINCT 10,2
42101001011,PHILADELPHIA WARD 10 PRECINCT 11,2
42101001012,PHILADELPHIA WARD 10 PRECINCT 12,2
42101001013,PHILADELPHIA WARD 10 PRECINCT 13,2
42101001014,PHILADELPHIA WARD 10 PRECINCT 14,2
42101001015,PHILADELPHIA WARD 10 PRECINCT 15,2
42101001016,PHILADELPHIA WARD 10 PRECINCT 16,2
42101001017,PHILADELPHIA WARD 10 PRECINCT 17,2
42101001018,PHILADELPHIA WARD 10 PRECINCT 18,2
42101001019,PHILADELPHIA WARD 10 PRECINCT 19,2
42101001020,PHILADELPHIA WARD 10 PRECINCT 20,2
42101001021,PHILADELPHIA WARD 10 PRECINCT 21,2
42101001022,PHILADELPHIA WARD 10 PRECINCT 22,2
42101001023,PHILADELPHIA WARD 10 PRECINCT 23,2
42101001024,PHILADELPHIA WARD 10 PRECINCT 24,2
42101001025,PHILADELPHIA WARD 10 PRECINCT 25,2
42101001026,PHILADELPHIA WARD 10 PRECINCT 26,2
42101001027,PHILADELPHIA WARD 10 PRECINCT 27,2
42101001028,PHILADELPHIA WARD 10 PRECINCT 28,2
42101001029,PHILADELPHIA WARD 10 PRECINCT 29,2
42101001057,PHILADELPHIA WARD 05 PRECINCT 09,3
42101001068,PHILADELPHIA WARD 05 PRECINCT 10,3
42101001069,PHILADELPHIA WARD 05 PRECINCT 16,3
42101001080,PHILADELPHIA WARD 05 PRECINCT 17,4
42101001081,PHILADELPHIA WARD 05 PRECINCT 21,4
42101001082,PHILADELPHIA WARD 05 PRECINCT 30,4
42101001083,PHILADELPHIA WARD 05 PRECINCT 31,5
42101001084,PHILADELPHIA WARD 05 PRECINCT 32,4
42101001085,PHILADELPHIA WARD 05 PRECINCT 33,4
42101001086,PHILADELPHIA WARD 05 PRECINCT 34,4
42101001087,PHILADELPHIA WARD 05 PRECINCT 25,5
42101001088,PHILADELPHIA WARD 05 PRECINCT 26,3
42101001089,PHILADELPHIA WARD 05 PRECINCT 27,4
42101001101,PHILADELPHIA WARD 11 PRECINCT 01,2
42101001102,PHILADELPHIA WARD 11 PRECINCT 02,2
42101001103,PHILADELPHIA WARD 11 PRECINCT 03,2
42101001104,PHILADELPHIA WARD 11 PRECINCT 04,2
42101001105,PHILADELPHIA WARD 11 PRECINCT 05,2
42101001106,PHILADELPHIA WARD 11 PRECINCT 06,2
42101001107,PHILADELPHIA WARD 11 PRECINCT 07,2
42101001108,PHILADELPHIA WARD 11 PRECINCT 08,2
42101001109,PHILADELPHIA WARD 11 PRECINCT 09,2
42101001110,PHILADELPHIA WARD 11 PRECINCT 10,2
42101001111,PHILADELPHIA WARD 11 PRECINCT 11,2
42101001112,PHILADELPHIA WARD 11 PRECINCT 12,2
42101001113,PHILADELPHIA WARD 11 PRECINCT 13,2
42101001114,PHILADELPHIA WARD 11 PRECINCT 14,2
42101001115,PHILADELPHIA WARD 11 PRECINCT 15,2
42101001116,PHILADELPHIA WARD 11 PRECINCT 16,2
42101001117,PHILADELPHIA WARD 11 PRECINCT 17,2
42101001118,PHILADELPHIA WARD 11 PRECINCT 18,2
42101001119,PHILADELPHIA WARD 11 PRECINCT 19,2
42101001120,PHILADELPHIA WARD 11 PRECINCT 20,2
42101001201,PHILADELPHIA WARD 12 PRECINCT 01,2
42101001202,PHILADELPHIA WARD 12 PRECINCT 02,2
42101001203,PHILADELPHIA WARD 12 PRECINCT 03,2
42101001204,PHILADELPHIA WARD 12 PRECINCT 04,2
42101001205,PHILADELPHIA WARD 12 PRECINCT 05,2
42101001206,PHILADELPHIA WARD 12 PRECINCT 06,2
42101001207,PHILADELPHIA WARD 12 PRECINCT 07,2
42101001208,PHILADELPHIA WARD 12 PRECINCT 08,2
42101001209,PHILADELPHIA WARD 12 PRECINCT 09,2
42101001210,PHILADELPHIA WARD 12 PRECINCT 10,2
42101001211,PHILADELPHIA WARD 12 PRECINCT 11,2
42101001212,PHILADELPHIA WARD 12 PRECINCT 12,2
42101001213,PHILADELPHIA WARD 12 PRECINCT 13,2
42101001214,PHILADELPHIA WARD 12 PRECINCT 14,2
42101001215,PHILADELPHIA WARD 12 PRECINCT 15,2
42101001216,PHILADELPHIA WARD 12 PRECINCT 16,2
42101001217,PHILADELPHIA WARD 12 PRECINCT 17,2
42101001218,PHILADELPHIA WARD 12 PRECINCT 18,2
42101001219,PHILADELPHIA WARD 12 PRECINCT 19,2
42101001220,PHILADELPHIA WARD 12 PRECINCT 20,2
42101001221,PHILADELPHIA WARD 12 PRECINCT 21,2
42101001222,PHILADELPHIA WARD 12 PRECINCT 22,2
42101001223,PHILADELPHIA WARD 12 PRECINCT 23,2
42101001224,PHILADELPHIA WARD 12 PRECINCT 24,2
42101001301,PHILADELPHIA WARD 13 PRECINCT 01,2
42101001302,PHILADELPHIA WARD 13 PRECINCT 02,2
42101001303,PHILADELPHIA WARD 13 PRECINCT 03,2
42101001304,PHILADELPHIA WARD 13 PRECINCT 04,2
42101001305,PHILADELPHIA WARD 13 PRECINCT 05,2
42101001306,PHILADELPHIA WARD 13 PRECINCT 06,2
42101001307,PHILADELPHIA WARD 13 PRECINCT 07,2
42101001308,PHILADELPHIA WARD 13 PRECINCT 08,2
42101001309,PHILADELPHIA WARD 13 PRECINCT 09,2
42101001310,PHILADELPHIA WARD 13 PRECINCT 10,2
42101001311,PHILADELPHIA WARD 13 PRECINCT 11,2
42101001312,PHILADELPHIA WARD 13 PRECINCT 12,2
42101001313,PHILADELPHIA WARD 13 PRECINCT 13,2
42101001314,PHILADELPHIA WARD 13 PRECINCT 14,2
42101001315,PHILADELPHIA WARD 13 PRECINCT 15,2
42101001316,PHILADELPHIA WARD 13 PRECINCT 16,2
42101001317,PHILADELPHIA WARD 13 PRECINCT 17,2
